StudentID,Date,Status,Reason
S0001,2024-07-05,Present,
S0001,2024-07-24,Present,
S0001,2025-06-15,Present,
S0001,2025-05-19,Present,
S0001,2025-05-17,Present,
S0001,2024-07-28,Present,
S0001,2024-09-13,Present,
S0001,2024-07-26,Present,
S0001,2025-05-12,Present,
S0001,2024-11-18,Present,
S0001,2025-03-27,Present,
S0001,2024-11-30,Present,
S0001,2025-02-01,Present,
S0001,2025-03-17,Present,
S0001,2024-08-17,Present,
S0001,2024-09-21,Present,
S0001,2024-09-10,Present,
S0001,2024-09-10,Present,
S0001,2024-12-13,Present,
S0001,2024-12-31,Present,
S0001,2024-08-12,Present,
S0001,2025-03-27,Present,
S0001,2024-09-17,Present,
S0001,2024-09-11,Present,
S0001,2025-05-27,Present,
S0001,2025-02-04,Present,
S0001,2024-10-31,Present,
S0001,2024-11-21,Present,
S0001,2025-01-25,Present,
S0001,2024-08-30,Present,
S0001,2024-11-24,Present,
S0001,2025-01-14,Present,
S0001,2024-07-09,Present,
S0001,2025-01-15,Present,
S0001,2025-04-26,Absent,Firm finish.
S0001,2025-05-23,Present,
S0001,2024-09-18,Present,
S0001,2025-03-20,Present,
S0001,2024-09-30,Present,
S0001,2024-08-30,Present,
S0001,2025-05-26,Present,
S0001,2024-08-16,Present,
S0001,2024-11-14,Present,
S0001,2025-04-01,Present,
S0001,2024-10-08,Present,
S0001,2024-08-07,Present,
S0001,2025-05-31,Present,
S0001,2025-05-16,Present,
S0001,2025-03-19,Absent,Expert book their detail.
S0001,2024-12-14,Present,
S0001,2025-05-10,Present,
S0001,2025-04-10,Present,
S0001,2025-05-11,Present,
S0001,2025-06-06,Present,
S0001,2024-12-14,Present,
S0001,2025-03-04,Present,
S0001,2024-10-22,Present,
S0001,2024-11-23,Present,
S0001,2024-12-29,Present,
S0001,2025-02-12,Present,
S0001,2024-08-30,Absent,Box American.
S0001,2025-03-25,Present,
S0001,2025-01-22,Present,
S0001,2024-08-25,Present,
S0001,2024-07-11,Present,
S0001,2024-08-10,Present,
S0001,2024-11-03,Present,
S0001,2025-06-01,Present,
S0001,2025-01-14,Present,
S0001,2024-11-18,Present,
S0001,2024-07-09,Present,
S0001,2024-11-08,Present,
S0001,2024-07-07,Present,
S0001,2025-05-16,Present,
S0001,2024-11-17,Present,
S0001,2025-04-03,Present,
S0001,2025-02-25,Present,
S0001,2024-12-02,Absent,Window strategy left.
S0001,2025-05-13,Present,
S0001,2025-04-19,Present,
S0001,2024-09-06,Present,
S0001,2024-12-01,Present,
S0001,2025-01-26,Present,
S0001,2025-02-19,Present,
S0001,2025-03-27,Present,
S0001,2025-06-13,Present,
S0001,2025-02-15,Present,
S0001,2024-10-26,Present,
S0001,2024-09-10,Present,
S0001,2025-01-06,Present,
S0001,2024-08-10,Present,
S0001,2024-08-21,Present,
S0001,2025-02-23,Present,
S0001,2024-08-11,Present,
S0001,2024-10-09,Present,
S0001,2025-03-07,Present,
S0001,2025-05-24,Present,
S0001,2025-04-27,Present,
S0001,2025-03-02,Present,
S0001,2024-09-11,Present,
S0002,2025-06-11,Present,
S0002,2024-09-26,Present,
S0002,2024-07-27,Present,
S0002,2024-06-25,Present,
S0002,2024-07-08,Present,
S0002,2024-08-12,Present,
S0002,2025-05-24,Present,
S0002,2024-07-13,Absent,House step certainly color.
S0002,2025-05-04,Present,
S0002,2025-02-12,Present,
S0002,2024-08-30,Present,
S0002,2024-07-04,Present,
S0002,2024-10-08,Present,
S0002,2024-10-30,Present,
S0002,2024-12-18,Present,
S0002,2024-09-17,Present,
S0002,2025-04-22,Present,
S0002,2025-04-07,Present,
S0002,2024-11-11,Present,
S0002,2025-02-22,Present,
S0002,2024-10-14,Present,
S0002,2024-06-16,Present,
S0002,2024-11-20,Present,
S0002,2024-09-03,Absent,Economy doctor expect increase grow.
S0002,2024-12-11,Present,
S0002,2024-11-17,Present,
S0002,2025-06-15,Present,
S0002,2025-05-13,Present,
S0002,2025-01-27,Present,
S0002,2024-10-22,Present,
S0002,2025-04-10,Present,
S0002,2024-09-11,Present,
S0002,2024-11-24,Present,
S0002,2024-08-02,Present,
S0002,2025-05-11,Present,
S0002,2024-09-16,Present,
S0002,2025-03-29,Present,
S0002,2024-08-19,Present,
S0002,2025-01-02,Present,
S0002,2024-11-27,Present,
S0002,2025-05-12,Present,
S0002,2024-08-20,Absent,Player challenge fire.
S0002,2025-03-16,Present,
S0002,2025-02-25,Present,
S0002,2025-04-08,Present,
S0002,2025-06-02,Present,
S0002,2024-11-09,Present,
S0002,2024-12-24,Present,
S0002,2024-10-01,Present,
S0002,2024-07-24,Present,
S0002,2025-05-05,Present,
S0002,2025-05-12,Present,
S0002,2024-09-11,Present,
S0002,2025-04-18,Present,
S0002,2024-12-04,Absent,Concern still like.
S0002,2024-11-03,Absent,Could member someone but.
S0002,2024-11-02,Present,
S0002,2025-01-25,Present,
S0002,2025-04-12,Present,
S0002,2024-07-17,Present,
S0002,2025-02-21,Absent,Process sort quality chance.
S0002,2024-08-08,Present,
S0002,2024-07-16,Present,
S0002,2024-08-31,Present,
S0002,2025-02-21,Present,
S0002,2025-02-14,Present,
S0002,2024-12-19,Present,
S0002,2025-05-01,Absent,Just become risk responsibility.
S0002,2024-11-27,Present,
S0002,2024-09-19,Present,
S0002,2024-08-10,Present,
S0002,2024-11-11,Present,
S0002,2024-10-07,Present,
S0002,2025-05-26,Present,
S0002,2025-06-16,Present,
S0002,2025-04-11,Present,
S0002,2024-11-25,Present,
S0002,2025-05-10,Present,
S0002,2024-09-23,Present,
S0002,2025-03-10,Present,
S0002,2024-10-02,Present,
S0002,2025-03-04,Present,
S0002,2025-04-02,Present,
S0002,2024-11-25,Present,
S0002,2024-12-16,Present,
S0002,2025-05-25,Present,
S0002,2024-10-14,Present,
S0002,2024-09-27,Present,
S0002,2024-10-15,Present,
S0002,2024-12-27,Present,
S0002,2024-09-13,Present,
S0002,2024-12-12,Present,
S0002,2025-01-04,Present,
S0002,2024-08-27,Present,
S0002,2024-11-12,Present,
S0002,2024-12-14,Present,
S0002,2025-01-23,Present,
S0002,2025-03-03,Present,
S0002,2024-07-14,Present,
S0002,2025-04-06,Present,
S0003,2025-03-22,Present,
S0003,2024-07-20,Present,
S0003,2025-02-07,Present,
