StudentID,Date,BehaviorType,Notes
S0001,2024-06-29,Absent without notice,Talk admit owner.
S0001,2025-01-13,Participative,Indeed new hour sometimes vote.
S0001,2024-07-11,Absent without notice,Budget matter prevent eat.
S0001,2024-12-17,Helpful,Able act speak end subject central.
S0001,2024-12-31,Late,Able benefit create.
S0002,2024-06-16,Helpful,Become interview race soldier participant.
S0002,2024-12-31,Helpful,Six realize accept which.
S0002,2024-07-25,Participative,Trade half firm.
S0002,2025-04-05,Absent without notice,Character final beyond break site subject.
S0002,2024-07-13,Participative,Year people sound source.
S0002,2025-01-24,Absent without notice,Different friend bag determine challenge culture.
S0002,2024-07-27,Participative,Himself ever art southern population strategy research.
S0002,2025-01-20,Helpful,Matter when grow.
S0003,2024-10-01,Late,Thus wind three grow.
S0003,2024-11-27,Disruptive,Stage figure third cost.
S0003,2024-11-08,Late,Understand seem score hope western central behind.
S0003,2024-11-11,Absent without notice,Member quite sell it set market.
S0003,2024-11-20,Disruptive,Live particularly daughter lose head probably.
S0003,2024-11-16,Participative,Structure instead else dream produce body all.
S0004,2025-03-03,Absent without notice,Fast itself religious light region inside last.
S0004,2024-09-18,Late,Together certain little thing.
S0004,2025-04-24,Late,Heavy defense yes avoid.
S0004,2024-12-30,Late,Foot even notice why yet bed raise.
S0004,2025-01-25,Helpful,Rate care contain view reflect measure bar.
S0004,2024-10-09,Helpful,Shoulder throw gun popular police.
S0005,2024-10-28,Absent without notice,Scene staff already hit.
S0005,2024-10-22,Participative,Song reflect positive analysis against need visit.
S0005,2024-07-27,Helpful,Design show much realize free state strategy.
S0005,2025-05-18,Participative,Increase great go speak well find.
S0006,2025-05-30,Disruptive,List field difficult how top.
S0006,2024-09-03,Disruptive,Include offer system both.
S0006,2024-11-30,Absent without notice,Close exactly future up community mouth finish.
S0006,2025-03-04,Late,Tv tonight he.
S0006,2025-01-08,Late,Professor effect me quality.
S0006,2025-06-14,Late,Police then total week day.
S0006,2024-11-21,Absent without notice,Stuff his coach education.
S0006,2024-12-16,Absent without notice,Tree financial natural company article throw machine.
S0007,2024-08-25,Absent without notice,Raise family amount defense full control.
S0007,2024-07-06,Helpful,Style into director rest get.
S0007,2025-06-16,Helpful,Might point government successful.
S0007,2025-05-14,Absent without notice,House serve station yard use with know.
S0007,2025-03-07,Late,Human notice paper agreement.
S0007,2024-12-09,Participative,Little place can oil.
S0007,2025-03-16,Disruptive,According into hour around.
S0007,2025-05-04,Disruptive,Subject since head international throughout machine number you.
S0007,2025-01-25,Absent without notice,Visit example how end song need court response.
S0008,2024-12-08,Late,Poor speech meeting rate road.
S0008,2024-09-10,Absent without notice,Huge last kid sure deal fact.
S0008,2025-02-14,Disruptive,Likely choose worry establish.
S0008,2025-03-23,Absent without notice,Determine next our upon morning board drive.
S0008,2024-07-16,Disruptive,Each able clear identify leader total.
S0008,2025-03-17,Disruptive,Sense sometimes simply region join man.
S0009,2025-06-05,Helpful,Thought artist contain eat school final.
S0009,2025-06-16,Late,Hospital brother drug catch prove also most.
S0009,2024-10-31,Disruptive,Stand try only single.
S0010,2025-01-25,Absent without notice,Under physical executive with fact state.
S0010,2024-12-11,Disruptive,Find blue deal range thousand social value pattern.
S0010,2025-05-12,Absent without notice,Become center husband reduce guess.
S0010,2025-01-24,Helpful,Natural cell result.
S0010,2025-01-02,Late,Feel trouble window example claim cup.
S0011,2025-06-09,Absent without notice,We reveal career tax wear.
S0011,2024-11-30,Helpful,Should research win food.
S0011,2025-06-08,Late,Cultural develop continue dream hear close suddenly rather.
S0011,2025-05-21,Absent without notice,Our eight future.
S0011,2025-05-01,Helpful,Recognize whatever drop machine place share enter.
