StudentID,Subject,ExamType,Score,MaxScore,Term
S0001,Math,Mid Term,42,100,Term 2
S0001,Science,Mid Term,88,100,Term 1
S0001,Science,Final Exam,87,100,Term 3
S0001,Math,Mid Term,45,100,Term 2
S0001,English,Final Exam,44,100,Term 3
S0001,History,Final Exam,69,100,Term 2
S0001,Science,Unit Test,22,100,Term 2
S0001,Geography,Mid Term,82,100,Term 1
S0001,Science,Mid Term,14,100,Term 2
S0001,Science,Final Exam,16,100,Term 1
S0001,Math,Unit Test,26,100,Term 2
S0001,English,Final Exam,50,100,Term 1
S0001,Science,Mid Term,87,100,Term 3
S0001,Geography,Final Exam,8,100,Term 3
S0001,Geography,Mid Term,26,100,Term 2
S0001,Geography,Mid Term,62,100,Term 2
S0001,Math,Unit Test,37,100,Term 1
S0001,History,Final Exam,49,100,Term 2
S0001,History,Final Exam,44,100,Term 3
S0001,Geography,Mid Term,58,100,Term 1
S0001,English,Mid Term,69,100,Term 1
S0001,Science,Mid Term,81,100,Term 2
S0001,English,Mid Term,29,100,Term 1
S0001,Science,Unit Test,61,100,Term 2
S0001,English,Final Exam,96,100,Term 3
S0001,History,Unit Test,84,100,Term 3
S0001,Math,Final Exam,13,100,Term 3
S0001,English,Unit Test,22,100,Term 1
S0001,Science,Unit Test,50,100,Term 2
S0001,English,Final Exam,81,100,Term 3
S0002,Science,Unit Test,23,100,Term 1
S0002,Geography,Mid Term,37,100,Term 2
S0002,English,Unit Test,97,100,Term 1
S0002,History,Mid Term,71,100,Term 3
S0002,Math,Final Exam,70,100,Term 3
S0002,English,Unit Test,30,100,Term 3
S0002,Geography,Mid Term,36,100,Term 1
S0002,Science,Mid Term,87,100,Term 1
S0002,English,Mid Term,98,100,Term 2
S0002,History,Unit Test,21,100,Term 2
S0002,English,Unit Test,98,100,Term 2
S0002,Math,Unit Test,31,100,Term 1
S0002,English,Final Exam,78,100,Term 1
S0002,English,Unit Test,71,100,Term 3
S0002,Math,Unit Test,80,100,Term 2
S0002,English,Unit Test,19,100,Term 2
S0002,English,Final Exam,21,100,Term 2
